DeviceType_system_name,DeviceName_corrected,Physical Size,dimensions,Screen Resolution,display,sim,processor,ram,battery,weight
iPhone 8 Plus,iPhone 8 Plus,"5.5""",158.4 x 78.1 x 7.5 mm,1080 x 1920,Retina HD display,"Single Sim, 3G, 4G, VoLTE, Wi-Fi","A11 Bionic, Hexa Core, 2.39 GHz","3 GB RAM, 64 GB/128 GB/256 GB",2691 mAh,202 g
iPhone SE,iPhone SE,"4.0""",123.8 x 58.6 x 7.6 mm,640 x 1136,Retina display,"Single Sim, 3G, 4G, VoLTE, Wi-Fi","A9, Dual Core, 1.84 GHz","2 GB RAM, 16 GB/32 GB/64 GB/128 GB",1624 mAh,113 g
iPhone SE (2nd generation),iPhone SE (2nd generation),"4.7""",138.4 x 67.3 x 7.3 mm,750 x 1334,Retina HD display,"Single Sim, 3G, 4G, VoLTE, Wi-Fi","A13 Bionic, Hexa Core, 2.65 GHz","3 GB RAM, 64 GB/128 GB/256 GB",1821 mAh,148 g
iPhone SE (3rd generation),iPhone SE (3rd generation),"4.7""",138.4 x 67.3 x 7.3 mm,750 x 1334,Retina HD display,"Single Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","A15 Bionic, Hexa Core, 3.2 GHz","4 GB RAM, 64 GB/128 GB/256 GB",2018 mAh,155 g
iPhone X,iPhone X,"5.8""",143.6 x 70.9 x 7.7 mm,1125 x 2436,Super Retina HD display,"Single Sim, 3G, 4G, VoLTE, Wi-Fi, NFC","A11 Bionic, Hexa Core, 2.39 GHz","3 GB RAM, 64 GB/256 GB",2716 mAh,174 g
iPhone Xʀ,iPhone XR,"6.1""",150.9 x 75.7 x 8.3 mm,828 x 1792,Liquid Retina HD display,"Single Sim, 3G, 4G, VoLTE, Wi-Fi, NFC","A12 Bionic, Hexa Core, 2.5 GHz","3 GB RAM, 64 GB/128 GB/256 GB",2942 mAh,194 g
iPhone Xs,iPhone XS,"5.8""",143.6 x 70.9 x 7.7 mm,1125 x 2436,Super Retina HD display,"Single Sim, 3G, 4G, VoLTE, Wi-Fi, NFC","A12 Bionic, Hexa Core, 2.5 GHz","4 GB RAM, 64 GB/256 GB/512 GB",2658 mAh,177 g
iPhone Xs Max,iPhone XS Max,"6.5""",157.5 x 77.4 x 7.7 mm,1242 x 2688,Super Retina HD display,"Single Sim, 3G, 4G, VoLTE, Wi-Fi, NFC","A12 Bionic, Hexa Core, 2.5 GHz","4 GB RAM, 64 GB/256 GB/512 GB",3174 mAh,208 g
"iPhone12,8",iPhone SE (2nd generation),"4.7""",138.4 x 67.3 x 7.3 mm,750 x 1334,Retina HD display,"Single Sim, 3G, 4G, VoLTE, Wi-Fi","A13 Bionic, Hexa Core, 2.65 GHz","3 GB RAM, 64 GB/128 GB/256 GB",1821 mAh,148 g
"iPhone13,1",iPhone 12 Mini,"5.4""",131.5 x 64.2 x 7.4 mm,1080 x 2340,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A14 Bionic, Hexa Core, 3.1 GHz","4 GB RAM, 64 GB/128 GB/256 GB",2227 mAh,135 g
"iPhone13,2",iPhone 12,"6.1""",146.7 x 71.5 x 7.4 mm,1170 x 2532,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A14 Bionic, Hexa Core, 3.1 GHz","4 GB RAM, 64 GB/128 GB/256 GB",2815 mAh,164 g
"iPhone13,3",iPhone 12 Pro,"6.1""",146.7 x 71.5 x 7.4 mm,1170 x 2532,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A14 Bionic, Hexa Core, 3.1 GHz","6 GB RAM, 128 GB/256 GB/512 GB",2815 mAh,189 g
"iPhone13,4",iPhone 12 Pro Max,"6.7""",160.8 x 78.1 x 7.4 mm,1284 x 2778,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A14 Bionic, Hexa Core, 3.1 GHz","6 GB RAM, 128 GB/256 GB/512 GB",3687 mAh,228 g
"iPhone14,2",iPhone 13 Pro,"6.1""",146.7 x 71.5 x 7.7 mm,1170 x 2532,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A15 Bionic, Hexa Core, 3.2 GHz","6 GB RAM, 128 GB/256 GB/512 GB/1 TB",3095 mAh,204 g
"iPhone14,3",iPhone 13 Pro Max,"6.7""",160.8 x 78.1 x 7.7 mm,1284 x 2778,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A15 Bionic, Hexa Core, 3.2 GHz","6 GB RAM, 128 GB/256 GB/512 GB/1 TB",4352 mAh,238 g
"iPhone14,4",iPhone 13 Mini,"5.4""",131.5 x 64.2 x 7.7 mm,1080 x 2340,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A15 Bionic, Hexa Core, 3.2 GHz","4 GB RAM, 128 GB/256 GB/512 GB",2438 mAh,140 g
"iPhone14,5",iPhone 13,"6.1""",146.7 x 71.5 x 7.6 mm,1170 x 2532,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A15 Bionic, Hexa Core, 3.2 GHz","4 GB RAM, 128 GB/256 GB/512 GB",3240 mAh,174 g
"iPhone14,6",iPhone SE (3rd generation),"4.7""",138.4 x 67.3 x 7.3 mm,750 x 1334,Retina HD display,"Single Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","A15 Bionic, Hexa Core, 3.2 GHz","4 GB RAM, 64 GB/128 GB/256 GB",2018 mAh,155 g
"iPhone14,7",iPhone 14,"6.1""",146.7 x 71.5 x 7.7 mm,1170 x 2532,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A15 Bionic, Hexa Core, 3.2 GHz","6 GB RAM, 128 GB/256 GB/512 GB",3279 mAh,175 g
"iPhone14,8",iPhone 14 Plus,"6.7""",160.8 x 78.1 x 7.7 mm,1284 x 2778,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A15 Bionic, Hexa Core, 3.2 GHz","6 GB RAM, 128 GB/256 GB/512 GB",4325 mAh,240 g
"iPhone15,2",iPhone 14 Pro,"6.1""",146.7 x 71.5 x 7.7 mm,1179 x 2556,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A16 Bionic, Hexa Core, 3.46 GHz","6 GB RAM, 128 GB/256 GB/512 GB/1 TB",3200 mAh,178 g
"iPhone15,3",iPhone 14 Pro Max,"6.7""",160.8 x 78.1 x 7.7 mm,1290 x 2796,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A16 Bionic, Hexa Core, 3.46 GHz","6 GB RAM, 128 GB/256 GB/512 GB/1 TB",4323 mAh,242 g
"iPhone15,4",iPhone 15,"6.1""",146.7 x 71.5 x 7.7 mm,1179 x 2556,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A16 Bionic, Hexa Core, 3.46 GHz","6 GB RAM, 128 GB/256 GB/512 GB",3349 mAh,176 g
"iPhone15,5",iPhone 15 Plus,"6.7""",160.8 x 78.1 x 7.7 mm,1290 x 2796,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A16 Bionic, Hexa Core, 3.46 GHz","6 GB RAM, 128 GB/256 GB/512 GB",4383 mAh,248 g
"iPhone16,1",iPhone 15 Pro,"6.1""",146.7 x 71.5 x 7.7 mm,1179 x 2556,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A17 Pro, Hexa Core, 3.75 GHz","8 GB RAM, 128 GB/256 GB/512 GB/1 TB",3274 mAh,179 g
"iPhone16,2",iPhone 15 Pro Max,"6.7""",160.8 x 78.1 x 7.7 mm,1290 x 2796,Super Retina XDR display,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","A17 Pro, Hexa Core, 3.75 GHz","8 GB RAM, 128 GB/256 GB/512 GB/1 TB",4422 mAh,251 g
